firma_A	firma_B	firma_C
65,95	101,23	126,64
67,45	100,80	127,50
65,54	103,36	127,51
67,31	103,09	128,83
68,48	101,33	126,93
70,61	101,33	128,90
68,95	100,05	129,55
70,34	99,10	130,00
72,26	102,08	129,80
70,56	101,44	131,47
72,20	100,09	131,77
70,36	98,49	132,02
71,61	96,78	133,83
70,29	95,63	135,18
69,23	93,96	137,03
67,99	92,27	138,52
69,44	90,35	137,19
70,47	92,91	135,95
71,23	91,71	137,00
70,17	91,34	137,67
71,95	90,05	136,63
73,10	89,87	137,87
74,34	92,63	139,09
75,40	91,36	140,12
75,91	91,04	138,57
74,76	90,45	138,84
75,89	89,75	140,71
77,86	89,51	140,85
79,27	88,66	138,95
80,73	88,17	140,37
81,01	87,02	139,33
79,97	86,95	141,26
77,98	85,86	142,92
79,21	88,48	145,30
80,59	86,96	143,49
83,04	86,49	145,41
84,26	86,09	147,40
85,28	84,37	146,27
85,74	83,22	148,38
84,14	85,72	150,67
86,12	84,73	150,84
86,23	84,15	149,73
84,78	83,26	148,35
86,91	82,50	150,61
85,30	81,74	148,95
83,64	84,27	147,17
82,50	83,00	147,86
83,50	85,99	149,49
85,49	84,29	147,90
87,71	83,35	146,46
85,99	86,22	144,76
88,15	85,51	146,64
88,57	84,25	146,84
88,75	84,11	145,82
89,45	86,81	147,20
87,70	85,18	149,23
85,97	85,17	150,75
86,77	83,74	151,95
85,03	83,16	154,04
83,62	82,19	155,46
85,87	80,93	157,47
86,95	83,66	155,78
88,95	82,17	154,39
87,68	81,81	155,92
86,52	80,97	154,42
87,64	80,41	153,37
86,51	79,86	154,38
85,10	79,52	152,55
86,09	78,86	150,98
84,89	77,11	151,24
83,75	75,29	153,69
85,37	78,26	155,26
85,90	77,23	153,86
84,34	79,95	152,09
83,32	79,03	150,44
83,78	78,57	152,88
81,97	76,85	153,57
83,69	79,53	151,80
82,46	82,14	153,21
84,11	81,95	154,75
85,63	81,26	153,43
85,83	79,76	152,27
86,66	82,50	151,00
87,96	80,88	152,36
89,71	80,27	150,48
91,38	80,06	151,60
90,08	78,17	149,70
88,79	77,03	150,75
86,79	76,48	149,30
84,93	76,21	149,42
83,65	76,09	147,55
84,46	75,75	148,07
82,96	74,55	149,90
81,92	74,29	151,68
80,32	73,21	153,25
80,37	72,27	152,23
81,26	70,48	150,25
83,72	70,05	148,80
84,27	68,35	146,96
82,97	67,58	145,48
83,17	66,30	147,35
81,82	65,04	145,40
84,04	63,88	145,47
82,65	63,09	146,12
83,94	61,68	147,22
82,19	60,11	148,13
84,44	63,04	149,90
82,85	65,81	147,96
84,73	64,26	146,51
84,93	63,08	147,87
83,87	62,49	149,41
82,71	61,45	150,39
81,37	60,30	149,35
80,04	62,81	147,81
81,96	62,35	145,85
82,73	61,53	147,65
81,60	61,16	148,00
80,37	60,65	149,16
82,29	59,06	148,12
83,24	61,49	146,75
85,09	64,21	148,88
85,26	64,11	150,14
87,45	63,40	149,12
89,82	61,83	147,93
91,95	59,96	145,99
94,23	59,02	144,71
93,11	57,84	145,03
93,73	60,76	146,52
95,75	60,53	146,65
97,38	62,95	148,26
99,66	62,42	146,60
98,06	64,86	147,83
99,61	63,25	150,03
97,68	62,83	151,15
96,12	61,62	149,95
94,84	60,02	150,98
95,23	59,25	149,25
96,12	62,11	151,06
94,84	60,56	149,65
93,28	60,46	148,22
91,44	63,27	146,25
93,22	62,21	146,91
95,34	65,21	145,85
97,18	64,72	146,31
95,89	64,51	144,60
94,40	63,15	143,56
93,07	65,96	143,61
93,84	64,82	143,98
92,78	63,49	142,51
94,02	62,41	144,03
95,27	65,36	142,49
93,67	64,40	140,54
95,35	63,79	138,89
96,14	62,37	137,61
94,99	65,24	138,30
95,70	64,81	136,81
95,72	63,89	135,43
96,62	66,79	134,00
98,19	65,16	134,07
97,19	67,81	135,07
97,88	70,23	133,70
96,50	69,88	132,12
98,32	69,65	132,20
100,41	67,95	134,63
98,63	66,98	136,87
96,81	65,76	138,55
98,88	65,53	137,23
100,54	68,27	135,35
102,50	66,36	133,85
103,73	65,00	134,45
101,95	67,90	136,01
100,28	67,61	134,69
101,15	66,87	136,71
101,53	69,79	135,55
103,27	72,55	138,04
102,20	70,64	136,30
100,83	69,99	136,91
101,60	68,07	137,52
99,94	66,72	136,02
98,46	69,35	134,65
97,24	68,80	133,62
97,60	66,97	134,27
98,91	66,28	134,35
101,11	64,41	133,19
102,79	66,86	132,10
103,54	66,22	132,30
102,54	64,24	131,23
100,72	62,97	130,09
99,66	61,28	131,73
101,44	63,76	130,03
99,81	63,15	128,21
101,70	62,62	128,51
99,88	65,52	127,47
102,11	65,18	126,24
104,42	64,34	128,41
105,45	64,28	128,56
104,12	67,06	128,58
102,55	66,61	127,41
100,83	65,15	129,69
102,59	63,19	128,27
101,01	62,21	126,99
102,11	61,89	127,03
100,38	59,94	127,11
