id_losowania	data_losowania	nr1	nr2	nr3	nr4	nr5
1195	2014-04-13	16	17	20	21	24
1196	2014-04-15	5	9	13	14	18
1197	2014-04-17	12	14	19	21	26
1198	2014-04-19	1	5	6	11	13
1199	2014-04-21	20	22	25	29	33
1200	2014-04-23	14	15	18	22	23
1201	2014-04-25	3	5	8	9	11
1202	2014-04-27	6	11	16	20	23
1203	2014-04-29	3	7	11	14	19
1204	2014-05-01	20	25	28	31	34
1205	2014-05-03	4	6	7	8	11
1206	2014-05-05	11	15	16	19	21
1207	2014-05-07	8	10	15	20	23
1208	2014-05-09	4	9	13	16	21
1209	2014-05-11	14	17	20	21	26
1210	2014-05-13	19	22	23	25	26
1211	2014-05-15	17	20	25	28	31
1212	2014-05-17	18	23	27	29	30
1213	2014-05-19	9	13	18	23	25
1214	2014-05-21	15	16	19	21	26
1215	2014-05-23	10	13	17	18	22
1216	2014-05-25	17	19	23	28	33
1217	2014-05-27	10	15	16	17	19
1218	2014-05-29	1	3	5	7	11
1219	2014-05-31	12	15	18	19	22
1220	2014-06-02	1	6	9	11	15
1221	2014-06-04	10	15	16	20	22
1222	2014-06-06	7	11	12	16	18
1223	2014-06-08	8	10	11	12	14
1224	2014-06-10	4	9	10	13	17
1225	2014-06-12	5	10	12	16	21
1226	2014-06-14	12	16	17	20	23
1227	2014-06-16	19	23	26	27	28
1228	2014-06-18	2	6	8	9	10
1229	2014-06-20	4	9	11	15	17
1230	2014-06-22	3	6	11	12	16
1231	2014-06-24	16	20	23	25	28
1232	2014-06-26	11	13	15	17	20
1233	2014-06-28	12	15	16	20	23
1234	2014-06-30	1	2	6	10	14
1235	2014-07-02	8	11	15	20	21
1236	2014-07-04	20	25	30	32	33
1237	2014-07-06	8	13	16	21	26
1238	2014-07-08	5	8	10	15	16
1239	2014-07-10	20	25	30	35	40
1240	2014-07-12	19	23	26	28	30
1241	2014-07-14	10	11	14	19	23
1242	2014-07-16	4	6	7	9	11
1243	2014-07-18	8	11	12	17	18
1244	2014-07-20	4	9	11	14	15
1245	2014-07-22	19	24	26	29	33
1246	2014-07-24	10	11	12	16	18
1247	2014-07-26	8	10	12	13	14
1248	2014-07-28	1	6	10	15	16
1249	2014-07-30	2	7	8	11	16
1250	2014-08-01	14	18	23	28	31
1251	2014-08-03	18	19	23	28	32
1252	2014-08-05	6	7	10	12	15
1253	2014-08-07	8	12	13	16	21
1254	2014-08-09	8	9	10	12	16
1255	2014-08-11	4	7	12	15	16
1256	2014-08-13	20	24	29	32	33
1257	2014-08-15	1	6	9	13	17
1258	2014-08-17	16	17	20	25	29
1259	2014-08-19	14	15	20	21	23
1260	2014-08-21	2	4	9	11	15
1261	2014-08-23	10	13	17	21	25
1262	2014-08-25	16	18	23	24	27
1263	2014-08-27	4	6	8	13	14
1264	2014-08-29	20	23	27	29	33
1265	2014-08-31	4	8	13	14	17
1266	2014-09-02	17	21	22	27	29
1267	2014-09-04	12	13	18	23	24
1268	2014-09-06	19	24	29	31	33
1269	2014-09-08	14	17	22	23	27
1270	2014-09-10	16	21	23	25	28
1271	2014-09-12	6	7	8	13	16
1272	2014-09-14	18	20	24	27	31
1273	2014-09-16	10	14	17	22	23
1274	2014-09-18	17	21	26	30	31
1275	2014-09-20	17	18	19	22	23
1276	2014-09-22	9	11	13	14	16
1277	2014-09-24	6	10	11	13	16
1278	2014-09-26	11	13	15	16	17
1279	2014-09-28	15	16	17	20	21
1280	2014-09-30	10	12	13	15	16
1281	2014-10-02	20	24	29	32	33
1282	2014-10-04	19	20	21	24	25
1283	2014-10-06	5	7	8	11	13
1284	2014-10-08	11	16	19	22	26
1285	2014-10-10	2	5	10	14	16
1286	2014-10-12	14	16	19	24	26
1287	2014-10-14	8	13	14	17	22
1288	2014-10-16	6	9	10	13	17
1289	2014-10-18	2	3	4	6	10
1290	2014-10-20	13	18	22	23	24
1291	2014-10-22	9	12	17	18	23
1292	2014-10-24	2	4	6	8	10
1293	2014-10-26	2	6	7	10	12
1294	2014-10-28	6	11	13	15	20
1295	2014-10-30	12	16	19	21	23
1296	2014-11-01	9	14	17	20	25
1297	2014-11-03	13	15	19	21	23
1298	2014-11-05	6	9	10	11	16
1299	2014-11-07	7	10	11	15	17
1300	2014-11-09	11	15	20	22	24
1301	2014-11-11	10	14	16	20	21
1302	2014-11-13	16	20	25	29	32
1303	2014-11-15	14	18	19	24	28
1304	2014-11-17	2	7	12	13	16
1305	2014-11-19	9	10	12	17	21
1306	2014-11-21	14	15	18	23	25
1307	2014-11-23	13	17	18	23	25
1308	2014-11-25	20	23	25	27	31
1309	2014-11-27	15	17	19	21	22
1310	2014-11-29	6	11	16	21	23
1311	2014-12-01	8	10	11	14	19
1312	2014-12-03	11	16	21	25	27
1313	2014-12-05	4	9	11	13	17
1314	2014-12-07	16	17	22	26	29
1315	2014-12-09	11	16	20	21	26
1316	2014-12-11	18	21	25	29	30
1317	2014-12-13	8	11	14	16	21
1318	2014-12-15	17	18	21	25	29
1319	2014-12-17	9	13	16	21	26
1320	2014-12-19	13	15	17	22	23
1321	2014-12-21	8	13	18	21	22
1322	2014-12-23	10	13	18	19	20
1323	2014-12-25	17	22	26	31	36
1324	2014-12-27	1	4	5	7	12
1325	2014-12-29	15	16	21	25	30
1326	2014-12-31	1	6	10	14	18
1327	2015-01-02	5	9	13	15	17
1328	2015-01-04	5	7	8	13	16
1329	2015-01-06	5	9	10	11	13
1330	2015-01-08	18	23	24	29	34
1331	2015-01-10	12	15	19	22	27
1332	2015-01-12	14	16	20	25	27
1333	2015-01-14	12	16	19	23	28
1334	2015-01-16	2	6	9	14	18
1335	2015-01-18	9	11	14	17	20
1336	2015-01-20	17	21	25	28	30
1337	2015-01-22	11	16	21	25	30
1338	2015-01-24	13	15	17	18	22
1339	2015-01-26	18	23	26	31	35
1340	2015-01-28	3	8	10	15	19
1341	2015-01-30	11	12	14	18	21
1342	2015-02-01	10	11	13	18	21
1343	2015-02-03	11	16	17	22	26
1344	2015-02-05	17	21	22	24	25
1345	2015-02-07	2	4	5	8	13
1346	2015-02-09	16	20	22	27	28
1347	2015-02-11	11	12	17	20	23
1348	2015-02-13	10	14	17	22	23
1349	2015-02-15	2	4	8	12	13
1350	2015-02-17	18	21	22	27	31
1351	2015-02-19	11	16	19	20	22
1352	2015-02-21	5	9	13	17	19
1353	2015-02-23	15	20	21	22	25
1354	2015-02-25	15	16	18	23	25
1355	2015-02-27	5	10	13	16	21
1356	2015-03-01	15	20	25	29	34
1357	2015-03-03	14	15	17	20	23
1358	2015-03-05	10	13	15	20	22
1359	2015-03-07	9	10	11	13	14
1360	2015-03-09	11	14	18	22	27
1361	2015-03-11	12	15	18	20	24
1362	2015-03-13	9	10	12	16	19
1363	2015-03-15	10	13	16	19	21
1364	2015-03-17	7	11	15	19	20
1365	2015-03-19	11	15	16	19	22
1366	2015-03-21	13	14	18	22	23
1367	2015-03-23	6	8	11	15	19
1368	2015-03-25	3	4	7	10	13
1369	2015-03-27	6	11	15	17	18
1370	2015-03-29	4	6	10	15	19
1371	2015-03-31	14	18	23	24	28
1372	2015-04-02	13	16	21	22	26
1373	2015-04-04	14	19	23	25	26
1374	2015-04-06	2	6	7	8	9
1375	2015-04-08	8	10	15	17	22
1376	2015-04-10	19	20	24	25	28
1377	2015-04-12	13	14	15	18	22
1378	2015-04-14	2	7	9	14	15
1379	2015-04-16	10	11	13	14	19
1380	2015-04-18	13	15	20	23	26
1381	2015-04-20	17	22	25	28	32
1382	2015-04-22	1	2	7	12	16
1383	2015-04-24	19	22	23	24	26
1384	2015-04-26	5	7	9	12	17
1385	2015-04-28	1	3	8	10	11
1386	2015-04-30	14	15	20	23	27
1387	2015-05-02	13	15	18	20	21
1388	2015-05-04	5	7	9	12	16
1389	2015-05-06	14	15	20	25	28
1390	2015-05-08	5	6	9	12	14
1391	2015-05-10	4	6	9	10	14
1392	2015-05-12	11	12	13	15	17
1393	2015-05-14	14	19	21	26	30
1394	2015-05-16	5	10	14	15	18
1395	2015-05-18	9	10	11	15	20
1396	2015-05-20	14	15	18	21	24
1397	2015-05-22	15	20	23	26	30
1398	2015-05-24	10	12	13	16	20
1399	2015-05-26	17	20	21	26	31
1400	2015-05-28	3	5	6	9	12
1401	2015-05-30	6	7	8	11	16
1402	2015-06-01	18	22	23	26	30
1403	2015-06-03	17	21	25	26	30
1404	2015-06-05	17	21	25	29	30
1405	2015-06-07	17	22	23	26	28
1406	2015-06-09	4	5	8	10	14
1407	2015-06-11	10	13	16	19	23
1408	2015-06-13	11	13	15	20	21
1409	2015-06-15	4	9	11	16	21
1410	2015-06-17	15	17	20	23	28
1411	2015-06-19	7	12	15	18	21
1412	2015-06-21	7	8	10	15	18
1413	2015-06-23	6	7	8	10	15
1414	2015-06-25	8	10	11	16	20
1415	2015-06-27	12	13	18	22	23
1416	2015-06-29	7	12	14	18	21
1417	2015-07-01	4	5	10	12	14
1418	2015-07-03	17	22	25	29	32
1419	2015-07-05	17	22	23	24	27
1420	2015-07-07	15	16	21	22	25
1421	2015-07-09	16	20	24	27	32
1422	2015-07-11	7	10	14	19	23
1423	2015-07-13	9	11	16	20	22
1424	2015-07-15	12	14	19	24	29
1425	2015-07-17	1	3	6	10	14
1426	2015-07-19	9	10	11	16	18
1427	2015-07-21	3	5	8	11	15
1428	2015-07-23	10	13	18	23	26
1429	2015-07-25	7	10	13	16	21
1430	2015-07-27	2	7	9	12	16
1431	2015-07-29	12	17	18	20	24
1432	2015-07-31	4	6	10	15	20
1433	2015-08-02	11	12	17	19	24
1434	2015-08-04	11	15	18	21	22
1435	2015-08-06	17	18	21	26	29
1436	2015-08-08	11	14	19	24	27
1437	2015-08-10	18	21	23	27	32
1438	2015-08-12	18	19	23	27	32
1439	2015-08-14	5	10	15	16	21
1440	2015-08-16	17	21	22	26	31
1441	2015-08-18	1	5	9	12	14
1442	2015-08-20	2	5	8	9	10
1443	2015-08-22	8	12	15	20	25
1444	2015-08-24	10	11	13	17	21
1445	2015-08-26	6	7	8	12	15
1446	2015-08-28	17	19	22	25	29
1447	2015-08-30	11	14	17	22	24
1448	2015-09-01	8	9	14	16	19
1449	2015-09-03	7	10	12	17	22
1450	2015-09-05	6	8	11	15	17
1451	2015-09-07	15	17	21	24	27
1452	2015-09-09	10	15	20	21	22
1453	2015-09-11	13	15	20	25	29
1454	2015-09-13	9	14	16	19	24
1455	2015-09-15	1	2	5	6	8
1456	2015-09-17	9	11	15	17	18
1457	2015-09-19	18	23	25	28	33
1458	2015-09-21	3	5	8	11	15
1459	2015-09-23	15	19	22	27	29
1460	2015-09-25	19	20	22	24	29
1461	2015-09-27	1	4	8	9	11
1462	2015-09-29	7	8	11	16	21
1463	2015-10-01	18	21	25	26	28
1464	2015-10-03	3	4	6	10	12
1465	2015-10-05	18	23	26	27	32
1466	2015-10-07	17	18	20	21	23
1467	2015-10-09	17	22	27	30	35
1468	2015-10-11	8	12	16	17	18
1469	2015-10-13	11	15	20	21	25
1470	2015-10-15	16	21	25	30	35
1471	2015-10-17	18	21	23	26	27
1472	2015-10-19	4	9	10	12	17
1473	2015-10-21	12	14	15	19	23
1474	2015-10-23	9	10	11	12	17
1475	2015-10-25	19	23	28	32	34
1476	2015-10-27	20	24	29	33	38
1477	2015-10-29	11	15	17	22	25
1478	2015-10-31	18	23	25	27	31
1479	2015-11-02	10	13	14	15	20
1480	2015-11-04	9	13	18	21	24
1481	2015-11-06	16	20	22	23	24
1482	2015-11-08	5	10	14	16	18
1483	2015-11-10	5	7	12	13	18
1484	2015-11-12	6	11	13	15	17
1485	2015-11-14	12	17	19	20	23
1486	2015-11-16	6	8	9	14	16
1487	2015-11-18	7	10	12	17	20
1488	2015-11-20	4	8	12	13	15
1489	2015-11-22	18	21	24	26	30
1490	2015-11-24	12	13	16	21	23
1491	2015-11-26	8	12	17	19	24
1492	2015-11-28	15	19	20	25	29
1493	2015-11-30	5	8	9	13	15
1494	2015-12-02	12	16	19	23	24
1495	2015-12-04	12	13	15	18	22
1496	2015-12-06	6	10	11	13	17
1497	2015-12-08	3	5	10	11	16
1498	2015-12-10	1	2	6	9	14
1499	2015-12-12	7	10	13	17	19
1500	2015-12-14	20	21	23	24	29
1501	2015-12-16	12	13	15	20	24
1502	2015-12-18	19	23	26	31	32
1503	2015-12-20	2	6	7	11	12
1504	2015-12-22	7	12	13	16	21
1505	2015-12-24	16	17	22	24	25
1506	2015-12-26	3	8	12	17	22
1507	2015-12-28	4	7	11	12	16
1508	2015-12-30	13	16	18	23	26
1509	2016-01-01	16	21	24	27	30
1510	2016-01-03	7	8	10	13	18
1511	2016-01-05	16	18	19	20	22
1512	2016-01-07	2	4	7	11	12
1513	2016-01-09	20	22	24	29	34
1514	2016-01-11	8	9	13	14	16
1515	2016-01-13	9	10	15	20	24
1516	2016-01-15	19	21	25	26	29
1517	2016-01-17	15	18	20	25	26
1518	2016-01-19	18	19	21	25	27
1519	2016-01-21	17	20	21	26	28
1520	2016-01-23	16	19	22	23	28
1521	2016-01-25	15	17	22	23	25
1522	2016-01-27	1	5	6	8	10
1523	2016-01-29	15	20	22	26	30
1524	2016-01-31	6	11	15	18	21
1525	2016-02-02	20	25	30	31	33
1526	2016-02-04	10	14	16	17	18
1527	2016-02-06	15	19	20	25	26
1528	2016-02-08	2	3	7	8	9
1529	2016-02-10	14	18	20	23	28
1530	2016-02-12	16	18	23	27	29
1531	2016-02-14	6	8	12	17	18
1532	2016-02-16	6	9	13	17	22
1533	2016-02-18	1	4	8	13	14
1534	2016-02-20	9	12	13	15	20
1535	2016-02-22	10	12	16	20	24
1536	2016-02-24	8	9	12	14	17
1537	2016-02-26	19	20	25	27	31
1538	2016-02-28	5	7	12	13	16
1539	2016-03-01	5	10	13	15	16
1540	2016-03-03	11	16	20	22	26
1541	2016-03-05	17	18	23	26	29
1542	2016-03-07	15	16	17	20	22
1543	2016-03-09	5	8	9	12	14
1544	2016-03-11	2	3	8	12	16
1545	2016-03-13	12	13	16	17	19
1546	2016-03-15	4	9	14	19	22
1547	2016-03-17	1	5	9	13	18
1548	2016-03-19	12	16	21	23	24
1549	2016-03-21	19	24	29	33	38
1550	2016-03-23	8	13	14	19	20
1551	2016-03-25	6	10	15	17	19
1552	2016-03-27	19	24	25	29	31
1553	2016-03-29	20	23	28	30	32
1554	2016-03-31	7	10	13	15	16
1555	2016-04-02	11	14	19	21	22
1556	2016-04-04	16	20	22	24	28
1557	2016-04-06	13	17	20	21	23
1558	2016-04-08	5	8	12	14	17
1559	2016-04-10	13	14	17	21	26
1560	2016-04-12	7	9	12	13	18
1561	2016-04-14	6	9	12	13	16
1562	2016-04-16	7	11	12	13	15
1563	2016-04-18	14	17	19	24	28
1564	2016-04-20	15	16	19	22	26
1565	2016-04-22	6	10	12	13	16
1566	2016-04-24	4	9	11	16	19
1567	2016-04-26	11	16	17	18	21
1568	2016-04-28	3	4	6	7	12
1569	2016-04-30	3	6	10	15	16
1570	2016-05-02	5	10	13	15	18
1571	2016-05-04	13	18	20	22	23
1572	2016-05-06	17	18	23	28	29
1573	2016-05-08	11	12	16	17	21
1574	2016-05-10	7	12	14	16	18
1575	2016-05-12	18	22	26	28	31
1576	2016-05-14	7	11	13	14	16
1577	2016-05-16	11	15	19	22	24
1578	2016-05-18	13	16	17	20	23
1579	2016-05-20	10	13	14	18	22
1580	2016-05-22	12	14	19	23	25
1581	2016-05-24	17	21	23	28	30
1582	2016-05-26	17	19	22	27	28
1583	2016-05-28	14	15	16	18	22
1584	2016-05-30	11	14	15	17	18
1585	2016-06-01	7	10	15	18	21
1586	2016-06-03	8	11	12	13	14
1587	2016-06-05	16	20	24	27	28
1588	2016-06-07	3	7	10	11	13
1589	2016-06-09	1	5	9	10	12
1590	2016-06-11	20	23	25	28	32
1591	2016-06-13	4	9	13	16	19
1592	2016-06-15	15	19	21	24	26
1593	2016-06-17	11	14	16	20	24
1594	2016-06-19	13	16	18	23	28
1595	2016-06-21	11	15	17	19	24
1596	2016-06-23	16	17	20	23	25
1597	2016-06-25	14	18	22	27	32
1598	2016-06-27	9	11	13	17	22
1599	2016-06-29	3	8	11	13	14
1600	2016-07-01	12	16	19	22	27
1601	2016-07-03	14	16	20	21	22
1602	2016-07-05	3	6	7	11	12
1603	2016-07-07	2	7	9	14	15
1604	2016-07-09	15	20	24	25	26
1605	2016-07-11	11	16	18	21	22
1606	2016-07-13	5	7	10	13	15
1607	2016-07-15	4	9	14	18	19
1608	2016-07-17	5	8	12	14	16
1609	2016-07-19	11	12	16	20	21
1610	2016-07-21	9	10	13	16	19
1611	2016-07-23	1	6	11	15	16
1612	2016-07-25	11	15	17	18	22
1613	2016-07-27	4	9	10	11	14
1614	2016-07-29	16	17	20	23	27
1615	2016-07-31	12	15	20	21	23
1616	2016-08-02	8	11	12	17	19
1617	2016-08-04	8	12	16	21	24
1618	2016-08-06	5	10	13	18	23
1619	2016-08-08	6	9	10	15	20
1620	2016-08-10	4	6	8	12	14
1621	2016-08-12	20	24	27	28	32
1622	2016-08-14	1	6	11	14	18
1623	2016-08-16	18	21	24	28	30
1624	2016-08-18	12	14	15	17	22
1625	2016-08-20	5	8	9	14	17
1626	2016-08-22	1	4	8	12	15
1627	2016-08-24	6	11	15	17	19
1628	2016-08-26	1	2	6	9	10
1629	2016-08-28	2	4	9	12	14
1630	2016-08-30	13	17	19	20	23
1631	2016-09-01	1	5	9	13	17
1632	2016-09-03	12	16	18	20	24
1633	2016-09-05	20	23	28	31	32
1634	2016-09-07	13	17	19	24	25
1635	2016-09-09	14	16	17	18	20
1636	2016-09-11	15	17	20	22	25
1637	2016-09-13	6	9	11	16	21
1638	2016-09-15	2	7	12	16	17
1639	2016-09-17	17	22	24	29	34
1640	2016-09-19	14	18	22	27	31
1641	2016-09-21	11	13	17	21	25
1642	2016-09-23	19	23	25	26	28
1643	2016-09-25	5	6	9	12	14
1644	2016-09-27	6	8	13	18	22
1645	2016-09-29	13	18	21	24	29
1646	2016-10-01	7	9	10	15	19
1647	2016-10-03	4	9	11	14	19
1648	2016-10-05	2	4	8	11	14
1649	2016-10-07	5	6	11	14	15
1650	2016-10-09	17	22	26	28	32
1651	2016-10-11	11	16	19	24	28
1652	2016-10-13	1	6	9	10	12
1653	2016-10-15	6	9	10	11	16
1654	2016-10-17	16	18	19	20	21
1655	2016-10-19	7	12	14	15	20
1656	2016-10-21	8	11	14	15	16
1657	2016-10-23	8	10	12	13	17
1658	2016-10-25	12	17	22	24	28
1659	2016-10-27	5	6	9	14	17
1660	2016-10-29	13	15	20	25	28
1661	2016-10-31	18	23	26	28	31
1662	2016-11-02	1	6	7	12	16
1663	2016-11-04	18	22	23	25	26
1664	2016-11-06	11	13	18	23	28
1665	2016-11-08	12	15	16	19	20
1666	2016-11-10	12	14	16	20	24
1667	2016-11-12	9	10	13	14	17
1668	2016-11-14	9	11	16	21	25
1669	2016-11-16	14	16	19	24	29
1670	2016-11-18	10	12	13	18	21
1671	2016-11-20	11	14	15	20	24
1672	2016-11-22	15	20	24	26	31
1673	2016-11-24	8	9	12	17	20
1674	2016-11-26	1	2	4	6	10
1675	2016-11-28	8	9	11	14	19
1676	2016-11-30	14	19	21	26	31
1677	2016-12-02	5	6	7	11	15
1678	2016-12-04	6	9	14	15	19
1679	2016-12-06	5	7	8	12	13
1680	2016-12-08	6	7	12	14	19
1681	2016-12-10	9	10	11	12	17
1682	2016-12-12	14	15	18	21	22
1683	2016-12-14	13	18	20	25	29
1684	2016-12-16	7	12	17	19	24
1685	2016-12-18	19	23	28	30	32
1686	2016-12-20	3	4	7	11	14
1687	2016-12-22	9	10	12	15	17
1688	2016-12-24	10	14	16	21	22
1689	2016-12-26	15	18	23	24	27
1690	2016-12-28	4	7	10	13	16
1691	2016-12-30	17	18	19	20	23
1692	2017-01-01	12	15	16	18	21
1693	2017-01-03	8	11	14	17	22
1694	2017-01-05	15	16	20	21	25
1695	2017-01-07	5	6	10	11	13
1696	2017-01-09	1	2	3	5	10
1697	2017-01-11	5	9	13	17	18
1698	2017-01-13	10	14	17	21	24
1699	2017-01-15	5	8	10	11	12
1700	2017-01-17	4	6	9	11	16
1701	2017-01-19	13	16	19	23	27
1702	2017-01-21	1	4	7	10	14
1703	2017-01-23	7	9	10	15	16
1704	2017-01-25	9	12	15	20	23
1705	2017-01-27	13	18	19	20	23
1706	2017-01-29	14	19	20	21	24
1707	2017-01-31	10	13	18	19	22
1708	2017-02-02	15	17	21	25	28
1709	2017-02-04	10	14	16	21	26
1710	2017-02-06	5	6	9	12	16
1711	2017-02-08	7	9	10	12	15
1712	2017-02-10	9	13	18	20	25
1713	2017-02-12	10	15	17	20	25
1714	2017-02-14	14	19	23	26	27
1715	2017-02-16	13	16	20	22	25
1716	2017-02-18	10	12	14	15	19
1717	2017-02-20	1	5	9	14	18
1718	2017-02-22	11	12	13	14	15
